                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.73494,                 0.4274,                 1.0206,                0.85788,                0.69967,                0.77641,                0.42976,                 1.3541,                0.68709,                 1.5971,              0.0015644,              0.0015644,              0.0015644
                    112,                0.74571,                0.42799,                 1.0175,                0.84314,                0.69185,                0.76817,                0.42605,                 1.3633,                0.70466,                 1.6055,              0.0015604,              0.0015604,              0.0015604
                    113,                0.76723,                0.42976,                 1.0163,                0.85307,                0.68647,                0.75927,                0.42366,                  1.348,                0.70481,                 1.6079,              0.0015565,              0.0015565,              0.0015565
                    114,                 0.7654,                0.43043,                 1.0161,                0.86112,                0.70087,                0.76343,                 0.4255,                  1.342,                 0.6981,                 1.6069,              0.0015525,              0.0015525,              0.0015525
                    115,                0.74711,                0.42785,                 1.0375,                0.86593,                0.68742,                 0.7766,                0.42953,                 1.3487,                0.68968,                 1.6053,              0.0015486,              0.0015486,              0.0015486
                    116,                 0.7301,                0.41963,                 1.0071,                0.85801,                0.67987,                0.75876,                0.41458,                 1.3728,                0.72723,                 1.6304,              0.0015446,              0.0015446,              0.0015446
                    117,                0.71687,                0.41128,                 1.0122,                0.86533,                0.68317,                0.76806,                0.43218,                 1.3561,                0.69711,                 1.6084,              0.0015406,              0.0015406,              0.0015406
                    118,                0.72683,                0.41854,                 1.0069,                0.86007,                 0.6694,                0.74594,                0.41081,                 1.3827,                0.72352,                 1.6293,              0.0015367,              0.0015367,              0.0015367
                    119,                 0.7091,                0.40359,                 1.0022,                0.86154,                0.68894,                0.76845,                0.43404,                 1.3409,                0.70899,                 1.6177,              0.0015327,              0.0015327,              0.0015327
                    120,                0.72781,                0.42139,                 1.0068,                0.87696,                 0.6351,                0.73228,                0.41885,                 1.3478,                0.73311,                 1.6241,              0.0015288,              0.0015288,              0.0015288
                    121,                0.75924,                0.42782,                 1.0295,                0.88039,                0.66172,                0.75985,                0.42963,                 1.3434,                0.70142,                 1.6028,              0.0015248,              0.0015248,              0.0015248
                    122,                0.70939,                0.40445,                0.98889,                0.85727,                0.68152,                0.76327,                0.43071,                 1.3401,                0.69023,                  1.626,              0.0015208,              0.0015208,              0.0015208
                    123,                0.72441,                 0.4133,                 1.0025,                0.86328,                0.68729,                 0.7724,                0.43516,                 1.3401,                0.69457,                  1.635,              0.0015169,              0.0015169,              0.0015169
                    124,                0.72283,                0.41916,                 1.0164,                0.88444,                0.66089,                 0.7573,                0.42521,                 1.3346,                0.70487,                  1.607,              0.0015129,              0.0015129,              0.0015129
                    125,                0.70939,                0.40706,                 1.0061,                0.87997,                0.68564,                0.77278,                0.43092,                 1.3213,                0.67841,                 1.6005,               0.001509,               0.001509,               0.001509
                    126,                0.71701,                0.41745,                 0.9967,                0.86304,                0.68152,                 0.7564,                0.42637,                 1.3213,                0.71403,                 1.5914,               0.001505,               0.001505,               0.001505
                    127,                0.70378,                 0.3995,                 0.9952,                0.88623,                0.68125,                0.77635,                0.44585,                 1.3244,                0.69232,                 1.6074,               0.001501,               0.001501,               0.001501
                    128,                0.75756,                0.41446,                 1.0109,                0.85955,                0.66502,                0.75559,                0.42479,                 1.3509,                0.70995,                 1.5985,              0.0014971,              0.0014971,              0.0014971
                    129,                0.72982,                0.41261,                0.99958,                 0.8673,                0.69023,                 0.7708,                0.44661,                 1.3223,                0.67865,                 1.6025,              0.0014931,              0.0014931,              0.0014931
                    130,                0.72104,                0.41767,                0.99922,                0.86742,                0.68554,                0.76692,                0.43797,                 1.3218,                0.69903,                 1.5946,              0.0014892,              0.0014892,              0.0014892
                    131,                0.70661,                 0.4002,                0.99435,                0.87512,                0.69802,                0.77672,                0.42926,                 1.3442,                0.68703,                 1.6212,              0.0014852,              0.0014852,              0.0014852
                    132,                0.71278,                0.40435,                0.98347,                0.86611,                0.68069,                0.76377,                0.43558,                 1.3236,                0.67803,                 1.6293,              0.0014812,              0.0014812,              0.0014812
                    133,                0.71991,                0.41362,                0.99825,                0.84527,                 0.7137,                0.77436,                0.43731,                 1.3131,                0.68287,                 1.5927,              0.0014773,              0.0014773,              0.0014773
                    134,                0.70996,                0.40468,                0.98289,                0.86037,                0.68399,                0.76679,                0.42927,                 1.3353,                0.68893,                 1.6043,              0.0014733,              0.0014733,              0.0014733
                    135,                0.69493,                0.39483,                0.98822,                0.85191,                 0.6645,                0.74484,                0.42659,                  1.316,                0.71185,                 1.5941,              0.0014694,              0.0014694,              0.0014694
                    136,                0.70089,                0.39745,                0.99625,                 0.8812,                0.69472,                  0.773,                0.43811,                 1.3022,                0.66305,                 1.5763,              0.0014654,              0.0014654,              0.0014654
                    137,                0.69784,                0.40324,                0.99349,                0.86764,                0.68234,                0.76458,                0.43526,                 1.3062,                0.67456,                 1.5878,              0.0014614,              0.0014614,              0.0014614
                    138,                0.71654,                0.40922,                 1.0045,                0.86368,                0.67244,                0.74993,                0.42761,                 1.3267,                0.72752,                 1.6105,              0.0014575,              0.0014575,              0.0014575
                    139,                0.71507,                0.40366,                 1.0011,                0.87412,                0.67739,                0.75352,                 0.4309,                 1.3043,                0.70317,                  1.589,              0.0014535,              0.0014535,              0.0014535
                    140,                0.73832,                0.41026,                0.99301,                0.85906,                0.69142,                0.75923,                0.44055,                 1.3107,                0.69777,                 1.6007,              0.0014496,              0.0014496,              0.0014496
                    141,                0.73048,                0.40749,                 1.0039,                0.83723,                0.68326,                0.74632,                0.42922,                 1.3272,                0.72786,                 1.6133,              0.0014456,              0.0014456,              0.0014456
                    142,                0.69411,                0.39964,                0.98296,                0.87094,                0.67739,                0.75645,                0.42538,                 1.3202,                0.70836,                 1.6037,              0.0014416,              0.0014416,              0.0014416
                    143,                0.66937,                0.39623,                0.98728,                0.87645,                0.66997,                0.76121,                0.43945,                 1.3053,                0.70119,                 1.5893,              0.0014377,              0.0014377,              0.0014377
                    144,                0.68568,                0.39559,                 0.9848,                0.86554,                0.65512,                0.74786,                0.42491,                 1.3223,                0.69772,                 1.6129,              0.0014337,              0.0014337,              0.0014337
                    145,                0.68187,                0.39742,                 1.0036,                0.87287,                0.67413,                0.77166,                0.44502,                 1.3028,                0.68394,                 1.5924,              0.0014298,              0.0014298,              0.0014298
                    146,                0.68209,                0.38977,                0.97376,                0.85021,                0.69637,                0.77588,                0.44811,                 1.2988,                0.68224,                 1.5825,              0.0014258,              0.0014258,              0.0014258
                    147,                0.68992,                0.39437,                0.99052,                 0.8715,                0.67327,                0.76992,                0.44025,                 1.3248,                0.73678,                 1.6098,              0.0014218,              0.0014218,              0.0014218
                    148,                0.69453,                0.39745,                0.98025,                0.85476,                0.68399,                0.76903,                0.44198,                 1.3016,                0.69349,                 1.5897,              0.0014179,              0.0014179,              0.0014179
                    149,                0.68433,                0.39121,                0.97915,                0.86659,                0.68399,                 0.7688,                0.43249,                 1.3272,                0.70781,                 1.6155,              0.0014139,              0.0014139,              0.0014139
                    150,                 0.6821,                0.39483,                0.99076,                0.85256,                0.66667,                0.75159,                0.42858,                 1.3297,                0.70988,                 1.6174,                0.00141,                0.00141,                0.00141
                    151,                0.69816,                0.40035,                0.97995,                0.84495,                0.66994,                0.74872,                0.42323,                 1.3337,                0.72897,                 1.5985,               0.001406,               0.001406,               0.001406
                    152,                0.65744,                0.39238,                0.99158,                0.83584,                0.68894,                0.76121,                0.43191,                 1.3271,                0.70825,                 1.6241,               0.001402,               0.001402,               0.001402
                    153,                0.66825,                 0.3878,                0.98398,                0.88673,                0.65099,                0.73396,                  0.414,                 1.3393,                0.71658,                 1.6334,              0.0013981,              0.0013981,              0.0013981
